QueryID	Setting	Precision	Recall
352	title	0.0020	0.0385
352	title+desc	0.0010	0.0192
352	title+narr	0.0020	0.0385
353	title	0.0543	0.3182
353	title+desc	0.0080	0.3636
353	title+narr	0.0100	0.4545
354	title	0.0155	0.2800
354	title+desc	0.0080	0.3200
354	title+narr	0.0080	0.3200
359	title	0.0011	0.1667
359	title+desc	0.0010	0.1667
359	title+narr	0.0010	0.1667
